Disease,Medication
Fungal infection,"['Clotrimazole (Lotrimin)', 'Fluconazole (Diflucan)', 'Terbinafine (Lamisil)', 'Ketoconazole (Nizoral)', 'Itraconazole (Sporanox)']"
Allergy,"['Diphenhydramine (Benadryl)', 'Pseudoephedrine (Sudafed)', 'Epinephrine (Epipen)', 'Prednisone (Deltasone)', 'Omalizumab (Xolair)']"
GERD,"['Omeprazole (Prilosec)', 'Ranitidine (Zantac)', 'Tums (Calcium Carbonate)', 'Metoclopramide (Reglan)', 'Clarithromycin (Biaxin)']"
Chronic cholestasis,"['Ursodiol (Actigall)', 'Cholestyramine (Questran)', 'Methotrexate (Trexall)', 'Prednisone (Deltasone)', 'Liver transplant']"
Drug Reaction,"['Diphenhydramine (Benadryl)', 'Epinephrine (Epipen)', 'Prednisone (Deltasone)', 'Cephalexin (Keflex)', 'Clotrimazole (Lotrimin)']"
Peptic ulcer disease,"['Amoxicillin (Amoxil)', 'Omeprazole (Prilosec)', 'Cimetidine (Tagamet)', 'Aluminum Hydroxide (Maalox)', 'Misoprostol (Cytotec)']"
AIDS,"['Efavirenz (Sustiva)', 'Lopinavir/ritonavir (Kaletra)', 'Dolutegravir (Tivicay)', 'Maraviroc (Selzentry)', 'Enfuvirtide (Fuzeon)']"
Diabetes,"['Insulin (Humulin)', 'Metformin (Glucophage)', 'Glipizide (Glucotrol)', 'Sitagliptin (Januvia)', 'Liraglutide (Victoza)']"
Gastroenteritis,"['Azithromycin (Zithromax)', 'Ondansetron (Zofran)', 'Loperamide (Imodium)', 'IV fluids', 'Lactobacillus probiotics (Culturelle)']"
Bronchial Asthma,"['Albuterol (Ventolin)', 'Fluticasone (Flonase)', 'Montelukast (Singulair)', 'Cromolyn (Gastrocrom)', 'Ipratropium (Atrovent)']"
Hypertension,"['Lisinopril (Prinivil)', 'Hydrochlorothiazide (Microzide)', 'Atenolol (Tenormin)', 'Enalapril (Vasotec)', 'Amlodipine (Norvasc)']"
Migraine,"['Sumatriptan (Imitrex)', 'Rizatriptan (Maxalt)', 'Ergotamine (Cafergot)', 'Propranolol (Inderal)', 'Amitriptyline (Elavil)']"
Cervical spondylosis,"['Ibuprofen (Advil)', 'Cyclobenzaprine (Flexeril)', 'Physical therapy', 'Collar (Philadelphia)', 'Triamcinolone (Kenalog)']"
Paralysis (brain hemorrhage),"['Heparin (Hep-lock)', 'Alteplase (Activase)', 'Phenytoin (Dilantin)', 'Physical therapy', 'Occupational therapy']"
Jaundice,"['IV fluids', 'Albumin injections', 'N-acetylcysteine (Mucomyst)', 'Antiviral medications', 'Liver transplant']"
Malaria,"['Chloroquine (Aralen)', 'Artemether-lumefantrine (Coartem)', 'Quinine sulfate', 'Doxycycline (Doryx)', 'Primaquine']"
Chicken pox,"['Acyclovir (Zovirax)', 'Ibuprofen (Advil)', 'IV fluids', 'Rho(D) Immune Globulin (WinRho)', 'Platelet transfusions']"
Dengue,"['Paracetamol (Tylenol)', 'Ibuprofen (Advil)', 'Furosemide (Lasix)', 'IV fluids', 'Hydrocortisone (Solu-Cortef)']"
Typhoid,"['Chloramphenicol (Chloromycetin)', 'Ciprofloxacin (Cipro)', 'Azithromycin (Zithromax)', 'IV fluids', 'Blood transfusions']"
Hepatitis A,"['Hepatitis A vaccine', 'Ribavirin (Copegus)', 'Interferon alpha', 'IV fluids', 'Blood transfusions']"
Hepatitis B,"['Entecavir (Baraclude)', 'Tenofovir (Viread)', 'Lamuvidine (Epivir)', 'Pegylated interferon-alpha (Pegasys)', 'Liver transplant']"
Hepatitis C,"['Sofosbuvir (Sovaldi)', 'Ledipasvir/sofosbuvir (Harvoni)', 'Daclatasvir (Daklinza)', 'Peginterferon alfa-2a (Pegasys)', 'Ribavirin']"
Hepatitis D,"['Pegylated interferon-alpha', 'Interferon-alpha-2b', 'Adefovir (Hepsera)', 'Entecavir (Baraclude)', 'Liver transplant']"
Hepatitis E,"['Ribavirin (Copegus)', 'Corticosteroids (Prednisone)', 'Liver transplant', 'IV fluids', 'Nutritional support']"
Alcoholic hepatitis,"['Ceftriaxone (Rocephin)', 'Prednisolone (Prednisone)', 'N-acetylcysteine', 'Thiamine (Vitamin B1)', 'Liver transplant']"
Tuberculosis,"['Isoniazid (INH)', 'Rifampin (Rifadin)', 'Ethambutol (Myambutol)', 'Pyrazinamide (PZA)', 'Streptomycin']"
Common Cold,"['Oseltamivir (Tamiflu)', 'Guaifenesin (Mucinex)', 'Dextromethorphan (Robitussin)', 'Pseudophedrine (Sudafed)', 'Honey (natural remedy)']"
Pneumonia,"['Azithromycin (Zithromax)', 'Levofloxacin (Levaquin)', 'Amoxicillin (Amoxil)', 'Clindamycin (Cleocin)', 'IV fluids']"
Dimorphic hemorrhoids (piles),"['Hydrocortisone cream (Anusol)', 'Nitroglycerin ointment', 'Fiber supplements (Metamucil)', 'Aspirin', 'Docusate (Colace)']"
Heart attack,"['Aspirin (Bayer)', 'Clopidogrel (Plavix)', 'Nitroglycerin (Nitrostat)', 'Atorvastatin (Lipitor)', 'Losartan (Cozaar)']"
Varicose veins,"['Compression stockings', 'Sclerotherapy', 'Laser treatment (Endovenous)', 'VenaSeal adhesive', 'Ambulatory phlebectomy']"
Hypothyroidism,"['Levothyroxine (Synthroid)', 'Liothyronine (Cytomel)', 'Desiccated thyroid (Armour Thyroid)', 'Iodine supplements', 'Vitamin D']"
Hyperthyroidism,"['Methimazole (Tapazole)', 'Propylthiouracil (PTU)', 'Radioactive iodine (I-131)', 'Beta-blockers (Propranolol)', 'Surgical resection']"
Hypoglycemia,"['Glucagon injection (GlucaGen)', 'Dextrose tablets', 'Fruit juice', 'Honey', 'Glucose gel']"
Osteoarthritis,"['Ibuprofen (Advil)', 'Naproxen (Aleve)', 'Celecoxib (Celebrex)', 'Acetaminophen (Tylenol)', 'Glucosamine supplements']"
Arthritis,"['Methotrexate (Rheumatrex)', 'Hydroxychloroquine (Plaquenil)', 'Sulfasalazine (Azulfidine)', 'Leflunomide (Arava)', 'Etanercept (Enbrel)']"
Vertigo (Paroxysmal Positional Vertigo),"['Meclizine (Bonine)', 'Diphenhydramine (Benadryl)', 'Prochlorperazine (Compazine)', 'Loratadine (Claritin)', 'Betahistine']"
Acne,"['Benzoyl peroxide', 'Salicylic acid', 'Isotretinoin (Accutane)', 'Minocycline (Minocin)', 'Clindamycin (Cleocin)']"
Urinary tract infection,"['Trimethoprim/Sulfamethoxazole (Bactrim)', 'Nitrofurantoin (Macrobid)', 'Ciprofloxacin (Cipro)', 'Levofloxacin (Levaquin)', 'Phenazopyridine (Pyridium)']"
Psoriasis,"['Topical corticosteroids (Hydrocortisone)', 'Tazarotene (Tazorac)', 'Methotrexate (Rheumatrex)', 'Infliximab (Remicade)', 'Coal tar']"
Impetigo,"['Mupirocin ointment (Bactroban)', 'Cephalexin (Keflex)', 'Dicloxacillin (Dynapen)', 'Amoxicillin/clavulanate (Augmentin)', 'Clindamycin (Cleocin)']"
